u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,tokyo_dura,tokyo_fare,tokyo_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
114,84,アパホテル浅草蔵前,東京都台東区駒形２丁目４-６,2011年8月,2011,東京都,13_東京都,301,所有直営,アパホテルズ＆リゾーツ,東京都/台東区/駒形/二丁目/４番,139.79443,35.70589,5,7,51,604,0,75,1276,0,29,298,1,2018,510000,中規模の事務所、店舗等が多い既成商業地域,蔵前,200,商業
1414,11,東横INN浅草蔵前雷門,東京都台東区駒形１丁目３-１３,1996年4月,1996,東京都,13_東京都,105,NA,東横INN,東京都/台東区/駒形/一丁目/３番,139.79391,35.70613,5,7,51,604,0,75,1276,0,28,298,1,2018,510000,中規模の事務所、店舗等が多い既成商業地域,蔵前,200,商業
1402,1,東京ドームホテル,東京都文京区後楽１丁目３-６１,2000年6月,2000,東京都,13_東京都,1006,直営,東京ドームホテルズ,東京都/文京区/後楽/一丁目/３番,139.75171,35.70528,5,7,56,604,1,95,1409,2,16,165,0,2018,2610000,高層の事務所ビル等の建ち並ぶ商業地域,水道橋,400,商業
2383,19,日中友好金館後樂賓館,東京都文京区後楽1-5-3後楽賓館,1997年4月,1997,東京都,13_東京都,151,MC,三井ガーデンホテルズ,東京都/文京区/後楽/一丁目/５番,139.74792,35.70402,5,7,59,648,2,97,1430,2,20,165,0,2018,2610000,高層の事務所ビル等の建ち並ぶ商業地域,水道橋,400,商業
1001,81,スーパ一ホテル上野・御徒町,東京都台東区上野5丁目23-12,2010年4月,2010,東京都,13_東京都,101,賃貸,スーパーホテル,東京都/台東区/上野/五丁目/２３番,139.77577,35.70625,5,7,46,648,1,85,1235,1,11,133,0,2018,3150000,中高層の店舗、事務所ビルが建ち並ぶ商業地域,仲御徒町,0,商業
1736,15,吉祥寺第ーホテル,東京都武蔵野市吉祥寺本町２丁目４-１４,1987年5月,1987,東京都,13_東京都,81,直営,阪急阪神第一ホテルグループ,東京都/武蔵野市/吉祥寺本町/二丁目/４番,139.5784,35.70591,5,7,82,795,2,123,1664,3,36,388,0,2018,1740000,中高層の店舗、事務所等が多く建ち並ぶ商業地域,吉祥寺,550,商業
1077,3,センチュリオンホテル上野,東京都台東区上野２丁目３-４,2014年2月,2014,東京都,13_東京都,73,直営,CENTURION HOTELS,東京都/台東区/上野/二丁目/３番,139.7718,35.70848,5,7,52,802,2,81,1235,1,14,133,0,2018,3380000,中高層の店舗ビル等が建ち並ぶ繁華な商業地域,上野広小路,100,商業
1092,18,センチュリオンホテルヴィンテージ上野,東京都台東区上野２丁目３-４,2017年3月,2017,東京都,13_東京都,45,賃貸直営,CENTURION HOTELS,東京都/台東区/上野/二丁目/３番,139.7718,35.70848,5,7,52,802,2,81,1235,1,14,133,0,2018,3380000,中高層の店舗ビル等が建ち並ぶ繁華な商業地域,上野広小路,100,商業
1113,21,相鉄フレッサイン上野御徒町,東京都台東区上野１丁目２０-８,2017年11月,2017,東京都,13_東京都,155,賃貸,相鉄フレッサイン,東京都/台東区/上野/一丁目/２０番,139.77267,35.70762,5,7,52,802,2,80,1235,1,12,133,0,2018,3380000,中高層の店舗ビル等が建ち並ぶ繁華な商業地域,上野広小路,100,商業
3033,35,R&Bホテル上野広小路,東京都台東区上野１丁目１８-８,2002年5月,2002,東京都,13_東京都,187,賃貸,ワシントンホテルプラザチェーン　R＆Bホテルチェーン,東京都/台東区/上野/一丁目/１８番,139.77193,35.70684,5,7,47,648,1,82,1235,1,12,133,0,2018,3380000,中高層の店舗ビル等が建ち並ぶ繁華な商業地域,上野広小路,100,商業
438,10,ハンドレッドステイ東京新宿,東京都新宿区百人町２丁目２７-７,2010年7月,2010,東京都,13_東京都,102,賃貸,オリックス不動産,東京都/新宿区/百人町/二丁目/２７番,139.69569,35.70244,5,7,63,601,1,107,1400,2,30,216,1,2018,940000,店舗、事務所、共同住宅等が混在する商業地域,大久保,270,近商
